Country Name,Year,GDP,Inflation,Unemployment,LifeExp,Education,GovSpending,Investment,Trade,PopGrowth
Bulgaria,2019,3.79331765354152,3.10372944796771,4.148,75.1121951219512,84.7503128051758,-1.41171852077109,20.7340031845359,64.3005878621409,16.8038914263273
Bahrain,2019,2.05287774418655,1.00582004702136,1.217,80.471,52.9045782700327,-1.29469437720599,35.6238571804314,73.0944239873751,14.994212256707
Bosnia and Herzegovina,2019,2.88585242083978,0.56278215406123,15.692,77.394,46.6677894592285,-1.23185506471358,25.1910361335464,40.040069270151,19.3589709289337
Belarus,2019,1.44645548204305,5.59815595039853,4.165,74.2268292682927,81.2921953254514,-0.201786600970723,29.1499946931726,65.0945839929757,16.8429795126774
Belize,2019,4.25658710030072,0.187069385181424,9.053,72.577,25.138736158351,1.46284533510266,16.8394904249154,52.0189198848801,18.8183305235662
Brazil,2019,1.22077782271943,3.73297621216893,11.936,75.809,53.6215400695801,0.651994346081362,15.5167908016709,14.1229191909095,19.9835812871943
Brunei Darussalam,2019,3.86884436177075,-0.390522069165529,6.6,75.049,27.7715019255456,1.10621350885567,38.6777534991209,57.946040538108,25.0403962194955
Bhutan,2019,5.75514851246506,2.72643037388832,2.72,72.005,15.9420291550317,0.66444642692507,46.0853579354704,31.4575032617598,19.1177473889876
Botswana,2019,3.0317733945467,2.7728644286332,20.094,67.167,21.4965480211896,1.42262847077389,30.8204405592326,37.0878176552067,31.6419395023481
Canada,2019,1.90843194590616,1.94926902411592,5.69,82.1585365853659,73.1128768920898,1.46171259938134,23.0424241743147,32.3526958202565,20.6634960880685
Switzerland,2019,1.14198218965691,0.362886179940674,4.394,83.9048780487805,66.3093414306641,0.713313668444329,26.4377929043745,66.9653936798419,11.3549037641088
Chile,2019,0.634367533828438,2.55754475703326,7.493,80.324,92.0659713745117,1.59911795256016,24.9390098912825,27.8746677570512,15.2539557255243
China,2019,6.06850235053705,2.89923416358226,4.56,77.94,56.6050917923292,0.354740890170827,42.6695374085222,18.0557069597496,17.1510123948127
Cote d'Ivoire,2019,6.72137167584978,0.79085551205366,2.401,60.274,10.3256981639741,2.61916841176218,21.9899384954404,22.6604887650452,10.8276425991993
Cameroon,2019,3.47505998194981,2.45280214062732,3.632,61.695,15.0528614131463,2.78164441246944,18.9346454960496,19.8500907473186,12.0963512548066
Colombia,2019,3.18685539245533,3.52301932741446,10.28,76.793,56.6663017272949,1.78615507724394,21.3806095458027,15.8680386541241,15.7732334152149
Costa Rica,2019,2.41751181762513,2.09604635327807,10.807,80.296,55.0202903747559,0.838278384859255,16.0640851994464,34.3253215593308,16.7512009792355
Cyprus,2019,5.87559583386607,0.250370996758493,7.155,81.454,93.9260711669922,1.24612155650882,19.4907459360244,75.7588676037208,16.0348848806971
Czechia,2019,3.56577658128261,2.84787595918041,2.015,79.2292682926829,66.8802185058594,0.393788864202175,26.171850655873,72.1248511386482,19.2646329881001
Germany,2019,0.977734697038784,1.44565976888253,3.163,81.2926829268293,72.705078125,0.22551987421288,21.381259046499,42.3402444816356,19.8895196309028
Denmark,2019,1.71140093932736,0.75813157251162,5.018,81.4512195121951,81.6945877075195,0.358130915892652,21.8859998750194,58.9506079167167,24.2047767614883
Algeria,2019,0.899999999219148,1.95176821052891,12.302,75.682,53.8645018203122,1.84041291439333,44.6295617875004,20.407941949491,18.2610260787535
Ecuador,2019,0.1654044646003,0.266012515466155,3.812,77.286,47.2627814012203,1.68935479627168,21.04923118303,24.0486345985713,15.184077301137
"Egypt, Arab Rep.",2019,5.55209307156956,9.15279959324803,7.851,71.213,33.622825887244,1.75497438173801,20.6540385989993,16.6440314510365,7.2855611150822
Spain,2019,1.96117850841711,0.699518994458738,14.104,83.8317073170732,91.5387725830078,0.716697775475724,20.9088226144802,34.6755629292261,18.7386237646665
Estonia,2019,3.72664943466884,2.27725931243522,4.514,78.6463414634147,72.7060317993164,0.371554389037477,26.356088071314,72.0191543549198,19.0819330513563
Finland,2019,1.34973845741737,1.0240939296343,6.695,81.9829268292683,94.5891189575195,0.110191690491055,24.5675378797407,40.6183181143561,23.318575537276
France,2019,2.02744646419237,1.10825492288293,8.415,82.8268292682927,67.7331314086914,0.332559129027963,23.0250733613606,32.8895593910847,23.0348422675243
United Kingdom,2019,1.25629899760824,1.73810460086513,3.657,81.3691219512195,65.5119934082031,0.514596380840432,19.0285140310906,31.9028602803155,18.934726344575
Georgia,2019,5.38071926589951,4.85289821696723,11.565,74.165,69.6463934713126,-0.171565740223868,27.1682284921369,54.3043084100873,13.1442836745365
